"","Palavra","Dimensao","Media","DP"
"264","DEFORMADO","Ativacao",4.95,2.89
"265","DELEITE","Valencia",5.53,2.14
"266","DELEITE","Ativacao",2.82,2.37
"267","DELICADO","Valencia",6.3,2.11
"268","DELICADO","Ativacao",3.72,2.57
"269","DEMÔNIO","Valencia",2.1,1.67
"270","DEMÔNIO","Ativacao",4.49,3.25
"271","DEMORADO","Valencia",2.94,2.14
"272","DEMORADO","Ativacao",6,2.81
"273","DENTISTA","Valencia",5.18,2.51
"274","DENTISTA","Ativacao",4.02,2.65
"275","DEPRESSÃO","Valencia",1.96,1.55
"276","DEPRESSÃO","Ativacao",5.69,3.05
"277","DEPRIMENTE","Valencia",1.82,1.29
"278","DEPRIMENTE","Ativacao",4.88,3.11
"279","DEPRIMIDO","Valencia",2.2,1.58
"280","DEPRIMIDO","Ativacao",5.12,2.73
"281","DERROTADO","Valencia",1.69,1.33
"282","DERROTADO","Ativacao",5,3.13
"283","DESAFIANTE","Valencia",4.37,2.93
"284","DESAFIANTE","Ativacao",5.64,2.86
"285","DESAFIO","Valencia",7.2,1.97
"286","DESAFIO","Ativacao",6,2.84
"287","DESAGRADADO","Valencia",4.83,2.49
"288","DESAGRADADO","Ativacao",5.68,2.38
"289","FESTA","Valencia",8.22,1.63
"290","FESTA","Ativacao",4.49,3.31
"291","FESTIVO","Valencia",8.09,1.76
"292","FESTIVO","Ativacao",5.54,3.31
"293","FILHOTE","Valencia",6.88,2.03
"294","FILHOTE","Ativacao",3.96,2.38
"295","FIRMAMENTO","Valencia",6.66,2.19
"296","FIRMAMENTO","Ativacao",4,2.93
"297","FIRME","Valencia",6.97,2.04
"298","FIRME","Ativacao",3.94,2.46
"299","FLÁCIDO","Valencia",2.43,1.97
"300","FLÁCIDO","Ativacao",4.77,2.9
"301","FLEXÍVEL","Valencia",7.25,2.29
"302","FLEXÍVEL","Ativacao",4.06,2.74
"303","FLOR","Valencia",8.11,1.67
"304","FLOR","Ativacao",3.17,2.95
"305","FLORESCER","Valencia",6.38,2.49
"306","FLORESCER","Ativacao",3.31,2.49
"307","FOFOCA","Valencia",2.44,2.29
"308","FOFOCA","Ativacao",5.65,3.11
"309","FOGÃO","Valencia",4.71,2.75
"310","FOGÃO","Ativacao",4.76,3.02
"311","FOGO","Valencia",4.55,2.68
"312","FOGO","Ativacao",5.35,2.68
"313","FORÇA","Valencia",4.62,2.46
"314","FORÇA","Ativacao",4.76,2.77
"315","FORTE","Valencia",7.66,1.66
"316","FORTE","Ativacao",4.66,3.01
"317","FORTUITO","Valencia",6.61,2.07
"318","FORTUITO","Ativacao",3.91,2.6
"319","FOTOGRAFIA","Valencia",7.71,1.96
"320","FOTOGRAFIA","Ativacao",4.61,3.15
"321","FRAGRÂNCIA","Valencia",5.98,2.51
"322","FRAGRÂNCIA","Ativacao",3.8,2.45
"323","FRAUDE","Valencia",1.6,1.47
"324","FRAUDE","Ativacao",6,2.82
"325","FREIRA","Valencia",4.89,2.49
"326","FREIRA","Ativacao",3.91,2.62
"327","FRÍGIDA","Valencia",2.43,2.07
"328","FRÍGIDA","Ativacao",4.79,2.78
"329","FRIO","Valencia",4.45,2.71
"330","FRIO","Ativacao",4.85,2.7
"331","FRUSTRADO","Valencia",1.84,1.57
"332","FRUSTRADO","Ativacao",5.84,2.84
"333","FUGA","Valencia",3.63,2.39
"334","FUGA","Ativacao",5.26,2.82
"335","FUNERAL","Valencia",1.52,1.39
"336","FUNERAL","Ativacao",4.89,3.34
"337","FUNGO","Valencia",3.84,1.99
"338","FUNGO","Ativacao",4.65,2.56
"339","FURACÃO","Valencia",2.72,2.35
"340","FURACÃO","Ativacao",6.08,2.84
"341","GABINETE","Valencia",5.35,1.87
"342","GABINETE","Ativacao",3.88,2.38
"343","GANGRENA","Valencia",2.64,2.05
"344","GANGRENA","Ativacao",4.81,2.81
"345","GARFO","Valencia",6.12,2.03
"346","GARFO","Ativacao",3.83,2.47
"347","GAROTOS","Valencia",6.94,2.28
"348","GAROTOS","Ativacao",4.77,2.97
"349","GARRAFA","Valencia",6.49,2.35
"350","GARRAFA","Ativacao",4.19,2.77
"351","GATINHO","Valencia",7.06,2.72
"352","GATINHO","Ativacao",3.95,3.13
"353","GATO","Valencia",4.61,2.68
"354","GATO","Ativacao",4.64,2.74
"355","GELADEIRA","Valencia",6.86,1.72
"356","GELADEIRA","Ativacao",3.33,2.61
"357","GELÉIA","Valencia",5.84,1.96
"358","GELÉIA","Ativacao",3.7,2.22
"359","GELEIRA","Valencia",4.33,2.37
"360","GELEIRA","Ativacao",3.59,2.31
"361","GÊNERO","Valencia",4.33,2.09
"362","GÊNERO","Ativacao",4.56,2.1
"363","GENTIL","Valencia",8.23,1.53
"364","GENTIL","Ativacao",3.38,2.95
"365","GERMES","Valencia",4.69,2.93
"366","GERMES","Ativacao",5.46,2.77
"367","GINASTA","Valencia",6.4,1.93
"368","GINASTA","Ativacao",4.12,2.7
"369","GLAMOUR","Valencia",5.26,2.04
"370","GLAMOUR","Ativacao",4.13,2.28
"371","GLÓRIA","Valencia",8.16,1.58
"372","GLÓRIA","Ativacao",4.72,3.45
"373","GOLFISTA","Valencia",4,2.09
"374","GOLFISTA","Ativacao",4.66,2.54
"375","GOLPE","Valencia",2.2,2.03
"376","GOLPE","Ativacao",5.32,2.95
"377","GORDO","Valencia",4.78,3.02
"378","GORDO","Ativacao",4.82,2.92
"379","GOSTO","Valencia",7.57,1.67
"380","GOSTO","Ativacao",4.31,2.74
"381","GRACINHA","Valencia",7.15,2.02
"382","GRACINHA","Ativacao",3.73,2.82
"383","GRADUADO","Valencia",8.17,1.69
"384","GRADUADO","Ativacao",5.3,3.37
"385","GRAMA","Valencia",5.75,1.95
"386","GRAMA","Ativacao",3.21,2.12
"387","GRAMADO","Valencia",7.75,1.85
"388","GRAMADO","Ativacao",3.9,3.18
"389","GRAMPOS","Valencia",6.54,2.37
"390","GRAMPOS","Ativacao",3.42,2.49
"391","GRANADA","Valencia",2,2.05
"392","GRANADA","Ativacao",6.03,3.16
"393","GRITO","Valencia",4.42,2.44
"394","GRITO","Ativacao",6.19,2.31
"395","GROSSO","Valencia",2.71,1.98
"396","GROSSO","Ativacao",5.88,2.63
"397","GUERRA","Valencia",1.61,1.62
"398","GUERRA","Ativacao",6.79,2.97
"399","GUILHOTINA","Valencia",5.56,3.09
"400","GUILHOTINA","Ativacao",4.27,2.92
"401","GULA","Valencia",3.88,2.54
"402","GULA","Ativacao",4.94,2.67
"403","HABILIDADE","Valencia",6.91,1.91
"404","HABILIDADE","Ativacao",4.27,2.36
"405","HABITANTE","Valencia",5.55,1.74
"406","HABITANTE","Ativacao",3.34,2.06
"407","HÁBITO","Valencia",4.13,2.48
"408","HÁBITO","Ativacao",4.95,2.39
"409","HEMODIÁLISE","Valencia",3.78,2.42
"410","HEMODIÁLISE","Ativacao",4.9,2.94
"411","HEROÍNA","Valencia",5.35,3.23
"412","HEROÍNA","Ativacao",4.89,3.18
"413","HIDRANTE","Valencia",6.45,2.08
"414","HIDRANTE","Ativacao",3.75,2.47
"415","HIDROFOBIA","Valencia",3.48,2.16
"416","HIDROFOBIA","Ativacao",3.67,2.74
"417","HISTÓRIA","Valencia",3.54,3.08
"418","HISTÓRIA","Ativacao",5.48,3.23
"419","HOMEM","Valencia",6.85,2.78
"420","HOMEM","Ativacao",4.47,3.16
"421","HOMICIDA","Valencia",5.13,3.44
"422","HOMICIDA","Ativacao",5.54,3.09
"423","HONESTO","Valencia",8.6,1.2
"424","HONESTO","Ativacao",3.32,5.38
"425","HONRA","Valencia",4.75,3.43
"426","HONRA","Ativacao",5.09,3.04
"427","HORRÍVEL","Valencia",1.98,1.78
"428","HORRÍVEL","Ativacao",5.55,2.84
"429","HORROR","Valencia",2.54,2.11
"430","HORROR","Ativacao",5.83,2.9
"431","MERCADO","Valencia",6.59,2.2
"432","MERCADO","Ativacao",4.12,2.7
"433","MERETRIZ","Valencia",3.82,1.91
"434","MERETRIZ","Ativacao",3.52,2.41
"435","MERGULHADOR","Valencia",5.71,2.04
"436","MERGULHADOR","Ativacao",3.79,2.75
"437","MÊS","Valencia",6.11,1.9
"438","MÊS","Ativacao",3.9,2.51
"439","MESA","Valencia",6.18,1.5
"440","MESA","Ativacao",2.75,2
"441","METAL","Valencia",5.15,1.32
"442","METAL","Ativacao",3.17,2.04
"443","MÉTODO","Valencia",6.06,2.13
"444","MÉTODO","Ativacao",3.83,2.59
"445","MILAGRE","Valencia",7.95,1.71
"446","MILAGRE","Ativacao",4.99,3.26
"447","MILIONÁRIO","Valencia",6.55,2.23
"448","MILIONÁRIO","Ativacao",4.19,2.83
"449","MISÉRIA","Valencia",1.21,1.07
"450","MISÉRIA","Ativacao",5.89,3.22
"451","MÍSTICO","Valencia",6.6,2.33
"452","MÍSTICO","Ativacao",3.44,2.63
"453","MOBILIDADE","Valencia",6.17,1.75
"454","MOBILIDADE","Ativacao",4.06,2.59
"455","MODESTO","Valencia",6.79,1.92
"456","MODESTO","Ativacao",3.08,2.23
"457","MOEDA","Valencia",6.76,2.07
"458","MOEDA","Ativacao",4.1,2.79
"459","MOFO","Valencia",2.48,1.98
"460","MOFO","Ativacao",4.64,2.89
"461","MOINHO","Valencia",5.45,1.16
"462","MOINHO","Ativacao",3.44,2.18
"463","MOLDE","Valencia",5.21,1.79
"464","MOLDE","Ativacao",3.48,2.32
"465","MOMENTO","Valencia",7.09,1.9
"466","MOMENTO","Ativacao",4.57,2.84
"467","MONTANHA","Valencia",7.13,2.03
"468","MONTANHA","Ativacao",3.72,2.78
"469","MORAL","Valencia",6.72,2.07
"470","MORAL","Ativacao",3.45,2.43
"471","MÓRBIDO","Valencia",2.07,1.69
"472","MÓRBIDO","Ativacao",5.24,2.99
"473","MORTE","Valencia",1.4,1.04
"474","MORTE","Ativacao",6.18,3.14
"475","MORTO","Valencia",2.01,1.82
"476","MORTO","Ativacao",5.11,3.22
"477","MOSQUITO","Valencia",2.09,1.71
"478","MOSQUITO","Ativacao",5.6,3.1
"479","MOTIM","Valencia",3.77,2.25
"480","MOTIM","Ativacao",4.4,2.88
"481","MOTOR","Valencia",5.09,1.82
