"","Palavra","Dimensao","Media","DP"
"348","SOLENE","Ativacao",4,2.08
"349","ARTE","Ativacao",3.68,3.21
"350","ÁRVORE","Ativacao",2.27,2.19
"351","ÁS","Ativacao",3.84,2.6
"352","ÁSPERO","Ativacao",5.49,2.53
"353","ASSALTANTE","Ativacao",7.24,2.7
"354","ASSALTO","Ativacao",7.67,2.25
"355","ASSAR","Ativacao",3.92,2.7
"356","ASSASSINO","Ativacao",7.51,2.5
"357","ASSENTO","Ativacao",3.05,2.2
"358","ASSOVIO","Ativacao",4.48,2.62
"359","ASSUSTADO","Ativacao",6,2.54
"360","ASTRONAUTA","Ativacao",3.84,2.45
"361","ATADURA","Ativacao",4.5,2.89
"362","ATERRORIZADO","Ativacao",7.32,2.53
"363","ATIVAR","Ativacao",4.19,2.6
"364","ATLETISMO","Ativacao",4.27,2.5
"365","ATRAÇÃO","Ativacao",4.84,3.43
"366","AURORA","Ativacao",3.02,2.42
"367","AUTONOMIA","Ativacao",4.29,3.1
"368","AVALANCHE","Ativacao",6.02,2.9
"369","AVENIDA","Ativacao",3.76,2.4
"370","AVENTURA","Ativacao",6.33,2.97
"371","AVÔ","Ativacao",4.05,2.9
"372","AZEDO","Ativacao",4.42,2.13
"373","AZUL","Ativacao",3.37,2.78
"374","BACIA","Ativacao",3.59,2.53
"375","BAGUNÇADO","Ativacao",5.92,2.61
"376","BALA","Ativacao",3.44,2.45
"377","BANDEIRA","Ativacao",3,2.25
"378","BANHEIRA","Ativacao",3,2.69
"379","BANHEIRO","Ativacao",3,2.51
"380","BANHO","Ativacao",2.61,2.74
"381","BANQUETA","Ativacao",2.61,1.76
"382","BARATA","Ativacao",5.23,3.17
"383","BARRA","Ativacao",4.37,2.38
"384","BARRIL","Ativacao",4.28,2.58
"385","BASTARDO","Ativacao",4.16,2.66
"386","BEBÊ","Ativacao",3.71,2.73
"387","BEBIDA","Ativacao",4.08,3.03
"388","BECO","Ativacao",5.8,2.9
"389","BEIJO","Ativacao",5.24,3.74
"390","BELEZA","Ativacao",3.91,2.84
"391","BELISCAR","Ativacao",4.82,2.66
"392","BELO","Ativacao",3.29,2.53
"393","BENZER","Ativacao",2.76,2.68
"394","BERÇÁRIO","Ativacao",3.3,2.33
"395","BERRAR","Ativacao",6.21,2.73
"396","BESTA","Ativacao",5.3,2.76
"397","BISPO","Ativacao",2.71,2.4
"398","BLASFÊMIA","Ativacao",5.71,2.6
"399","BOBAGEM","Ativacao",4.76,2.78
"400","BOLINHO","Ativacao",3.4,2.47
"401","BOLO","Ativacao",3.26,2.64
"402","BOM","Ativacao",3.36,2.65
"403","BOMBA","Ativacao",6.87,2.56
"404","BONECA","Ativacao",3.05,2.24
"405","BONITO","Ativacao",3.45,2.94
"406","BORBOLETA","Ativacao",2.56,1.88
"407","BOXEADOR","Ativacao",5.34,2.5
"408","BRABEZA","Ativacao",6.02,2.71
"409","BRABO","Ativacao",6.05,2.7
"410","BRAÇO","Ativacao",3.64,2.12
"411","BRANCO","Ativacao",2.61,2.47
"412","BRAVO","Ativacao",6.31,2.87
"413","BRILHANTE","Ativacao",3.21,2.43
"414","BRINQUEDO","Ativacao",3.56,2.45
"415","BRISA","Ativacao",2.76,2.8
"416","BRUTAL","Ativacao",6.6,2.77
"417","BUQUÊ","Ativacao",3.74,3.19
"418","BURRO","Ativacao",4.7,2.73
"419","CABANA","Ativacao",3.21,2.68
"420","CABELO","Ativacao",3.78,2.64
"421","DESAJEITADO","Ativacao",3.65,2.4
"422","DESAMPARADO","Ativacao",5,2.62
"423","DESANIMADO","Ativacao",4.47,3.04
